Orthogroup	Junonia_coenia	Danaus_plexippus
OG0000132	JC_12332-RA, JC_12331-RA, JC_12328-RA, JC_12330-RA, JC_16594-RA, JC_12333-RA	DPOGS214570-PA
OG0000133	JC_17184-RA, JC_17091-RA, JC_17087-RA, JC_17186-RA	DPOGS204619-PA, DPOGS215001-PA
OG0000133	JC_17034-RA, JC_17035-RA	DPOGS201589-PA
OG0000134	JC_13643-RA	DPOGS206558-PA
OG0000134	JC_13572-RA, JC_13574-RA	DPOGS213998-PA
OG0000134	JC_13639-RA	DPOGS206556-PA
OG0000136	JC_01650-RA	DPOGS215350-PA
OG0000137	JC_00690-RA, JC_00691-RA, JC_00692-RA	DPOGS213158-PA
OG0000138	JC_08004-RA	DPOGS201307-PA, DPOGS201308-PA
OG0000138	JC_04421-RA	DPOGS210044-PA
OG0000139	JC_12416-RA	DPOGS204151-PA
OG0000139	JC_12885-RA	DPOGS211466-PA
OG0000139	JC_12412-RA	DPOGS204150-PA
OG0000140	JC_15651-RA	DPOGS208587-PA
OG0000140	JC_15647-RA	DPOGS215443-PA
OG0000141	JC_05454-RA, JC_12118-RA, JC_05455-RA, JC_05452-RA, JC_09960-RA, JC_05463-RA, JC_05456-RA, JC_05435-RA, JC_05433-RA, JC_05459-RA, JC_05464-RA, JC_05462-RA, JC_05465-RA, JC_05461-RA, JC_05434-RA, JC_06716-RA	DPOGS205275-PA
OG0000142	JC_16337-RA, JC_16335-RA, JC_16334-RA, JC_16336-RA, JC_16253-RA	DPOGS210763-PA
OG0000142	JC_16332-RA, JC_04999-RA, JC_04998-RA	DPOGS211692-PA
OG0000143	JC_11705-RA, JC_10291-RA, JC_11703-RA, JC_11704-RA	DPOGS207066-PA
OG0000143	JC_11701-RA, JC_11700-RA	DPOGS207067-PA
OG0000147	JC_05667-RA, JC_05669-RA, JC_05666-RA	DPOGS216148-PA
OG0000152	JC_01151-RA	DPOGS203652-PA
OG0000152	JC_01147-RA	DPOGS203849-PA
OG0000152	JC_01149-RA	DPOGS203651-PA
OG0000153	JC_03143-RA, JC_02953-RA, JC_02950-RA, JC_02960-RA, JC_02958-RA, JC_02951-RA, JC_02954-RA, JC_02957-RA, JC_02955-RA	DPOGS200298-PA
OG0000154	JC_05850-RA, JC_05851-RA, JC_01364-RA	DPOGS203728-PA
OG0000154	JC_15758-RA, JC_15757-RA, JC_15756-RA, JC_15755-RA, JC_03383-RA	DPOGS203730-PA
OG0000155	JC_13294-RA, JC_13290-RA, JC_13293-RA, JC_13296-RA, JC_13288-RA, JC_13303-RA, JC_13289-RA, JC_13304-RA, JC_13302-RA, JC_13301-RA, JC_13300-RA	DPOGS209068-PA
OG0000156	JC_10982-RA, JC_10978-RA	DPOGS201020-PA
OG0000156	JC_15886-RA, JC_10973-RA	DPOGS201022-PA, DPOGS201021-PA
OG0000157	JC_06612-RA, JC_11837-RA, JC_14009-RA, JC_16489-RA, JC_16620-RA, JC_12818-RA, JC_05707-RA, JC_07926-RA, JC_17098-RA, JC_13891-RA, JC_16905-RA, JC_13706-RA, JC_07992-RA, JC_16398-RA, JC_09892-RA, JC_01960-RA, JC_15646-RA, JC_12101-RA, JC_15198-RA, JC_14746-RA, JC_08528-RA, JC_14305-RA, JC_11908-RA, JC_13220-RA, JC_11293-RA, JC_14463-RA, JC_15390-RA, JC_05552-RA	DPOGS210719-PA
OG0000162	JC_10317-RA, JC_10318-RA	DPOGS214379-PA, DPOGS212215-PA
OG0000162	JC_10314-RA, JC_10313-RA, JC_10316-RA	DPOGS213682-PA
OG0000163	JC_10213-RA, JC_10215-RA, JC_10214-RA, JC_10216-RA, JC_10220-RA, JC_10219-RA, JC_10218-RA	DPOGS208397-PA, DPOGS208398-PA
OG0000164	JC_16411-RA	DPOGS207032-PA
OG0000165	JC_02467-RA, JC_02466-RA, JC_02484-RA, JC_02470-RA, JC_02468-RA	DPOGS202039-PA
OG0000166	JC_06064-RA	DPOGS204571-PA
OG0000166	JC_05826-RA, JC_05824-RA, JC_05825-RA, JC_05822-RA	DPOGS215383-PA
OG0000167	JC_03065-RA	DPOGS207203-PA, DPOGS200276-PA
OG0000169	JC_09918-RA	DPOGS209399-PA
OG0000169	JC_09913-RA	DPOGS209417-PA
OG0000169	JC_09912-RA	DPOGS209416-PA, DPOGS209415-PA
OG0000170	JC_05858-RA, JC_05859-RA, JC_05861-RA, JC_05857-RA, JC_05860-RA	DPOGS214883-PA, DPOGS205608-PA, DPOGS205609-PA
