Orthogroup	Vanessa_cardui	Junonia_coenia
OG0000115	Vcard_DToL06773-RA	JC_09318-RA
OG0000115	Vcard_DToL16322-RA	JC_14203-RA
OG0000116	Vcard_DToL05226-RA	JC_05019-RA
OG0000116	Vcard_DToL07626-RA	JC_15737-RA, JC_09136-RA
OG0000117	Vcard_DToL08238-RA	JC_11736-RA, JC_11741-RA
OG0000117	Vcard_DToL08239-RA	JC_11734-RA, JC_11731-RA, JC_11733-RA, JC_11730-RA, JC_11732-RA, JC_11739-RA
OG0000119	Vcard_DToL03289-RA	JC_11803-RA, JC_05582-RA, JC_05587-RA
OG0000122	Vcard_DToL04366-RA	JC_03302-RA
OG0000124	Vcard_DToL13182-RA	JC_09865-RA, JC_09875-RA, JC_09861-RA, JC_09876-RA, JC_09872-RA, JC_09862-RA
OG0000125	Vcard_DToL15852-RA	JC_13371-RA
OG0000125	Vcard_DToL15854-RA	JC_13370-RA, JC_13369-RA
OG0000127	Vcard_DToL18678-RA, Vcard_DToL18689-RA	JC_14232-RA
OG0000128	Vcard_DToL13576-RA	JC_10255-RA
OG0000128	Vcard_DToL13582-RA, Vcard_DToL13590-RA	JC_10263-RA
OG0000128	Vcard_DToL13588-RA	JC_10262-RA
OG0000128	Vcard_DToL13581-RA	JC_10261-RA
OG0000129	Vcard_DToL16688-RA	JC_14538-RA
OG0000131	Vcard_DToL17922-RA	JC_03944-RA
OG0000131	Vcard_DToL17920-RA, Vcard_DToL17921-RA	JC_03943-RA
OG0000132	Vcard_DToL14782-RA, Vcard_DToL14783-RA	JC_16594-RA
OG0000132	Vcard_DToL14781-RA	JC_12333-RA
OG0000133	Vcard_DToL17871-RA	JC_17184-RA, JC_17091-RA, JC_17087-RA, JC_17186-RA
OG0000133	Vcard_DToL17888-RA	JC_17034-RA, JC_17035-RA
OG0000134	Vcard_DToL15581-RA	JC_13643-RA
OG0000134	Vcard_DToL15620-RA	JC_13572-RA
OG0000134	Vcard_DToL15582-RA	JC_13639-RA
OG0000137	Vcard_DToL01909-RA	JC_00692-RA
OG0000138	Vcard_DToL06226-RA, Vcard_DToL06227-RA	JC_08004-RA
OG0000138	Vcard_DToL04862-RA, Vcard_DToL04863-RA, Vcard_DToL04861-RA	JC_04421-RA
OG0000139	Vcard_DToL15053-RA	JC_12415-RA
OG0000139	Vcard_DToL14664-RA	JC_12416-RA
OG0000139	Vcard_DToL15052-RA	JC_12885-RA
OG0000140	Vcard_DToL16920-RA	JC_15651-RA
OG0000140	Vcard_DToL16917-RA	JC_15647-RA
OG0000141	Vcard_DToL03188-RA	JC_05454-RA, JC_12118-RA
OG0000141	Vcard_DToL03185-RA	JC_05434-RA
OG0000141	Vcard_DToL03183-RA	JC_06716-RA
OG0000142	Vcard_DToL18406-RA	JC_16337-RA, JC_16335-RA, JC_16334-RA
OG0000142	Vcard_DToL18404-RA	JC_16332-RA
OG0000143	Vcard_DToL08257-RA	JC_10291-RA, JC_11703-RA, JC_11704-RA
OG0000143	Vcard_DToL08259-RA	JC_11701-RA, JC_11700-RA
OG0000144	Vcard_DToL09834-RA	JC_05956-RA, JC_05955-RA
